seller_id,seller_zip_code_prefix,seller_city,seller_state
37313c60b353412a8560d0618de2dce8,1301,São Paulo,SP
45dd04d44e394fd1bb9f478b456d991f,1301,São Paulo,SP
00af05cc25c248718be7be34e73b98f0,1301,São Paulo,SP
d09becf6a044441fa21428cd63025035,1301,São Paulo,SP
69e0d16b37cf4896aac20bedae0d8540,1301,São Paulo,SP
414223033d9e4647a772615b99fb9331,1301,São Paulo,SP
767103a752c644e295bb7eebbb643541,1301,São Paulo,SP
fd8af062d8154e8f80b635f69b3f672c,1301,São Paulo,SP
e6626135ae944d0e9fb45a0accf96235,1301,São Paulo,SP
bb65876a475d492c892c71bc7cc6668e,1301,São Paulo,SP
c1bc3329ba6e464e9b14082a0b624122,1301,São Paulo,SP
6840c381d8314deea5f3ca499d97ca50,1301,São Paulo,SP
b64fbd8c928544faa2da2e33b055600a,1301,São Paulo,SP
89103e0697b74004a00288463f62753a,1301,São Paulo,SP
604159da55bb44c2b87efff8146b597c,1301,São Paulo,SP
6484b601bb414eb59cdfc9a21ccca41e,1301,São Paulo,SP
136193a4e0aa43568c1c0accf4aca5c1,1301,São Paulo,SP
b01546e68a3f426abda060e3102d56ee,1301,São Paulo,SP
a12505b26a5c4deabc7d16443405f0d2,1301,São Paulo,SP
99ee107029924a00b8fdf7f1b6ea500b,1301,São Paulo,SP
39270728aa1742639fa8a8d18e72437d,1301,São Paulo,SP
e2ce3184bcb74692b86f709163a83b99,1301,São Paulo,SP
f21ab647886948ca8fbc305540a97e9f,1301,São Paulo,SP
d5a97d75b3a44684a365ce6aa02f0629,1301,São Paulo,SP
7e429266156845d1be6022e043d99fd6,1301,São Paulo,SP
9e8aa16e0eda47f9bc15a38dc1740ce1,1301,São Paulo,SP
1152a746bebd4be4b9324d1c8cbd7991,1301,São Paulo,SP
506b1df6aea54eb5840df74dc1e7677c,1301,São Paulo,SP
0ea6d6d77ac248079be8cbf2e54780c8,1301,São Paulo,SP
6c6436bcbbee4f9b96794be09b555e71,1301,São Paulo,SP
7750ae6e00c1455dba8ce150655f6ae0,1301,São Paulo,SP
517f3fa8105c4ad2b5cb7985b29a9d70,1301,São Paulo,SP
2cf4ac94b4a54f7fba9c3d7a175294c2,1301,São Paulo,SP
ba0b3a3070db4a6fa0cf9be6e3a14e31,1301,São Paulo,SP
f1b6bb46457b43b89ec83d74dad08c3a,1301,São Paulo,SP
